Issue Type+AHw-Mapped Category
Bank Guarantee's for Performance Security and Additional Performance Security+AHw-Contractors Obligations
Appointment of Design Director+AHw-Authoritys Obligations
Permission for extracting soil from minor irrigation tanks and ponds +AHw-Others
Appointment of Safety +ACY- Proof Consultants+AHw-Contractors Obligations
Submission of 3rd party lab test reports+AHw-Contractors Obligations
Video recording of the Project Highway (before inception +ACY- during construction)+AHw-Contractors Obligations
Handing over of land /Possession of site.  +AHw-Authoritys Obligations
QAP, EMP, EHS and Construction Programme+AHw-Contractors Obligations
Construction work methodologies+AHw-Contractors Obligations
Material test reports for Source Approvals+AHw-Contractors Obligations
Mix Designs for Pavement Layers +ACY- Structural Concrete+AHw-Contractors Obligations
Design +ACY- Drawings of Highways +ACY- Structures+AHw-Contractors Obligations
Bank Guarantee's for Mobilization Advance +AHw-Contractors Obligations
Slow Progress of Works +AHw-Extension of Time
Delay in payment of Supervision Charges to utility departments+AHw-Extension of Time, Authoritys Obligations
Removal of Encumbrances and Encroachments from the Right of way+AHw-Extension of Time, Authoritys Obligations
Monthly Progress Reports+AHw-Contractors Obligations
Stage Payments Statements+AHw-Contractors Obligations, Authoritys Obligations, Payments
Non Compliance Reports +AHw-Others, Contractors Obligation
Safety measures during construction.+AHw-Contractors Obligations
Providing of GAD drawings from Railway Authorities+AHw-Authoritys Obligations
Maintenance of diversion road/ existing road+AHw-Contractors Obligations
Schedule+AC0-H Division+AHw-Payments
Change in location of structures as per site requirement+AHw-Payments, Others
Change in cross section/span arrangement of structures as per site condition+AHw-Change of scope, Extension of Time, Dispute Resolution, Payments, Others
Request for Inspection reports, test reports+AHw-Others
Notices for Achievement/ Non Achievement of Milestones+AHw-Dispute Resolution
Intimation of Occurrence of Force majeure Events+AHw-Extension of Time, Dispute Resolution
Occurrence of unprecedented rainfall+AHw-Extension of Time
Occurrence of unseasonal rainfall+AHw-Extension of Time
Occurrence of land slides+AHw-Extension of Time
Occurrence of floods +AHw-Extension of Time
Strikes/ boycotts/ agitations+AHw-Extension of Time
Elections in the state+AHw-Extension of Time
Declaration of Emergency by State/ Central Government+AHw-Extension of Time
occurrence of cyclones +AHw-Extension of Time
Outbreak of epidemic or pandemic+AHw-Extension of Time
Intimation of Change in Law+AHw-Payments
